"Mes","Rain","Snow","Thunderstorm","Clear","Overcast","Mostly Cloudy","Partly Cloudy","Scattered Clouds","Otro"
"01","6891","2573","14","67852","48115","66353","40982","12730","345522"
"02","6801","3675","28","52714","50603","65993","40930","14151","368557"
"03","7207","2091","112","75307","38594","69790","41175","16125","274007"
"04","7269","859","96","53922","23579","83224","51020","12108","355223"
"05","5496","64","354","47462","23097","88607","59107","14111","319878"
"06","3641","0","664","54855","16867","90912","67328","17064","320042"
"07","2950","0","1095","64752","11805","81381","66815","20479","263058"
"08","4083","0","1244","77854","21768","95469","75027","28094","296127"
"09","5908","7","651","77541","26767","87131","70945","22503","359928"
"10","8012","335","112","87888","33204","81623","61612","19167","383177"
"11","8313","1228","51","80772","42493","84763","54876","15533","472136"
"12","12737","3253","17","67824","45974","95001","55670","12764","554103"
